,Name,FM,Census Tracts,Population,Land area (km2),Density (people/km2),% Change in Population since 2001,Average Income,Transit Commuting %,% Renters,Second most common language (after English) by name,Second most common language (after English) by percentage
47,Eatonville,E,"['0213.00, 0221.02, 0222.01, 0222.02']","19,131",11.26,1699,4.3,"36,206",12.6,13.4,Serbian (3.2%),03.2% Serbian
48,Eglinton East,S,"['0353.03, 0353.04, 0355.02, 0355.03, 0355.04']","22,387",3.23,6931,-1.0,"25,307",19.4,19.1,Tamil (9.7%),09.7% Tamil
49,Jane and Finch,NY,"['0312.02, 0312.03, 0312.04, 0312.05, 0312.06, 0312.07, 0316.01, 0316.03, 0316.04, 0316.05, 316.06']","48,003",7.66,6267,-10.0,"22,691",13.0,18.8,Vietnamese (6.9%),06.9% Vietnamese
50,Eringate,E,"['235.01, 235.02']","8,008",2.44,3282,-3.4,"34,789",10.9,4.0,Portuguese (3.4%),03.4% Portuguese
51,Fairbank,Y,"['160.00, 161.00, 162.00, 163.00, 169.01, 169.02, 170.00']","34,121",4.42,7720,-3.6,"28,403",21.6,16.4,Portuguese (11.3%),11.3% Portuguese
52,Fashion District,OCoT,['0011.00'],"4,642",0.98,4737,123.0,"63,282",15.5,26.2,Portuguese (1.1%),01.1% Portuguese
53,Financial District,OCoT,['0014.00'],548,0.47,1166,6.0,"63,952",18.2,17.3,Japanese (1.8%),01.8% Japanese
54,Flemingdon Park,NY,"['0260.01, 0260.03, 0260.04, 0260.05']","21,287",2.43,8760,-6.0,"23,471",16.6,19.6,Urdu (6.3%),06.3% Urdu
55,Forest Hill,OCoT,"['0130.00, 0131.00, 0132.00, 0133.00, 0134.00']","24,056",4.35,5530,-0.2,"101,631",14.8,21.9,Russian (2.4%),02.4% Russian
56,Fort York,OCoT,['0008.00'],"3,821",2.13,1794,126.0,"46,086",22.8,27.9,Hindi (1.7%),01.7% Hindi
57,Garden District,OCoT,['0034.00'],"8,240",0.52,"15,846",17.0,"37,614",17.0,35.5,Unspecified Chinese (3.0%),03.0% Unspecified Chinese
58,Glen Park,NY,"['0278.00, 0279.01, 0279.02']","18,426",4.13,4462,4.4,"35,022",13.6,17.0,Italian (9.3%),09.3% Italian
59,Governor's Bridge,EY,['0186.00'],"2,112",1.87,1129,4.0,"129,904",7.1,13.3,Polish (1.4%),01.4% Polish
60,Grange Park,OCoT,"['0036.00, 0037.00']","9,007",0.84,"10,793",-1.0,"35,277",13.3,35.6,Unspecified Chinese (14.8%),14.8% Unspecified Chinese
61,Graydon Hall,NY,['0269.01'],"4,714",0.71,6639,-15.0,"23,350",15.6,35.2,Persian (11.8%),11.8% Persian
62,Guildwood,S,"['0330.00, 0331.01, 0331.04']","12,820",4.77,2688,-2.0,"40,806",11.6,8.0,Persian (1.2%),01.2% Persian
63,Harbord Village,OCoT,"['0059.00, 0060.00']","5,906",0.64,"9,228",2.4,"45,792",16.8,24.0,Portuguese (4.1%),04.1% Portuguese
64,Harbourfront,OCoT,"['0012.00, 0013.00']","14,368",1.87,9228,94.3,"69,232",16.0,31.3,Unspecified Chinese (2.4%),02.4% Unspecified Chinese
65,Harwood,Y,['0155.00'],"3,375",0.78,4327,0.0,"22,136",12.3,17.8,Portuguese (19.0%),19.0% Portuguese
66,Henry Farm,NY,['0301.01'],"2,790",0.91,3066,-6.0,"56,395",15.6,15.9,Mandarin (3.9%),03.9% Mandarin
67,High Park North,OCoT,"['0099.00, 0100.00, 0102.01, 0102.02, 0102.03, 0103.00']","22,746",2.18,"10,434",-1.6,"46,437",27.5,32.8,Polish (3.0%),03.0% Polish
68,Highland Creek,S,"['0362.02, 0362.03']","12,853",5.13,2505,-0.1,"33,640",9.7,1.8,Tamil (5.1%),05.1% Tamil
69,Hillcrest,NY,"['0324.02, 0324.03, 0324.05, 0324.06']","18,327",5.35,3426,-0.4,"33,465",12.0,8.0,Unspecified Chinese (13.9%),13.9% Unspecified Chinese
70,Hoggs Hollow,NY,['0266.00'],"3,123",2.76,1132,2.0,"222,560",4.3,2.9,Unspecified Chinese (2.4%),02.4% Unspecified Chinese
71,Humber Bay Shores,E,"['0200.00, 0201.00']","10,775",1.42,7588,-5.7,"39,186",15.7,31.6,Russian (5.2%),05.2% Russian
72,Humber Heights,E,"['0241.00, 0242.00']","4,674",1.69,2766,8.3,"39,738",10.1,9.7,Spanish (4.1%),04.1% Spanish
73,Humber Summit,NY,"['0315.01, 0315.02, 0315.03']","12,766",7.89,1618,2.1,"26,117",7.3,7.6,Italian (15.1%),15.1% Italian
74,Humber Valley Village,E,"['0230.01, 0230.02. 0231.00']","14,453",5.45,2652,-0.1,"80,618",12.0,17.8,Ukrainian (3.9%),03.9% Ukrainian
75,Humberlea,NY,['0293.00'],"4,327",2.0,2164,-2.0,"30,907",8.7,7.9,Italian (11.1%),11.1% Italian
76,Humbermede,NY,"['0313.00, 0314.01, 0314.02']","14,778",4.35,3397,1.1,"24,297",11.8,14.6,Punjabi (9.7%),09.7% Punjabi
77,Humberwood,E,['0247.01'],"7,319",17.4,421,8.0,"29,576",7.9,7.0,Punjabi (26.7%),26.7% Punjabi
78,Humewood–Cedarvale,Y,"['0164.00, 0165.00, 0166.00, 0167.01, 0167.02, 0168.00']","27,515",3.19,8624,-7.8,"40,404",24.2,26.0,Spanish (3.6%),03.6% Spanish
79,Ionview,S,"['0346.02, 0351.01, 0351.02']","13,025",1.94,6714,-4.0,"25,078",21.1,22.5,Filipino (6.5%),06.5% Filipino
80,Islington – Six Points,E,"['0223.00, 0224.00, 0225.01, 0225.02']","16,508",4.02,4106,3.7,"43,570",17.1,22.2,Korean (4.9%),04.9% Korean
81,Junction Triangle,OCoT,['0098.00'],"6,666",0.72,9258,-6.0,"28,067",20.0,18.8,Portuguese (13.0%),13.0% Portuguese
82,Kensington Market,OCoT,['0038.00'],"3,740",0.36,"10,389",3.0,"23,335",15.0,25.1,Cantonese (14.3%),14.3% Cantonese
83,Kingsview Village,E,"['0239.00, 0243.01, 0243.02']","16,254",4.05,4013,-6.2,"32,004",11.8,14.6,Somali (7.0%),07.0% Somali
84,Lambton,Y,"['0151.00, 0154.00']","9,654",2.74,3523,-3.2,"30,920",14.2,15.9,Portuguese (3.9%),03.9% Portuguese
85,L'Amoreaux,S,"['0375.01, 0375.04, 0375.05, 0376.01, 0376.02, 0376.08, 0376.11,0376.12']","45,862",7.15,6414,0.9,"26,375",13.4,11.4,Unspecified Chinese (13.9%),13.9% Unspecified Chinese
86,Lansing,NY,['299.00'],"10,052",3.06,3285,35.0,"46,631",18.7,17.0,Persian (4.7%),04.7% Persian
87,Lawrence Heights,NY,['286.00'],"3,769",3.2,1178,15.0,"29,867",15.0,13.9,Italian (15.0%),15.0% Italian
88,Lawrence Manor,NY,"['0287.01, 0287.02']","13,750",2.14,6425,7.4,"36,361",15.9,23.8,Filipino (7.2%),07.2% Filipino
89,Lawrence Park,OCoT,"['0138.00, 0265.00']","6,653",3.64,1828,-5.1,"214,110",8.3,4.6,French (0.8%),00.8% French
90,Leaside,EY,"['0195.00, 0196.00']","13,876",2.81,4938,3.0,"82,670",9.7,10.5,Bulgarian (0.4%),00.4% Bulgarian
91,Ledbury Park,NY,"['0276.01, 0276.02']","12,360",2.5,4944,3.5,"83,853",9.5,12.2,Filipino (1.4%),01.4% Filipino
92,Leslieville,OCoT,"['0026.00, 0027.00, 0028.00, 0073.00, 0074.00']","23,567",2.69,8761,-7.3,"30,886",19.9,15.4,Cantonese (9.4%),09.4% Cantonese
93,Little Italy,OCoT,"['0041.00, 0042.00']","7,917",0.81,9774,-6.1,"31,231",15.5,17.0,Portuguese (17.4%),17.4% Portuguese
94,Little Portugal,OCoT,['0044.00'],"5,013",0.49,"10,231",-10.0,"29,224",16.6,21.6,Portuguese (23.8%),23.8% Portuguese
95,Long Branch,E,"['0206.01, 0206.02']","9,625",2.22,4336,-7.4,"37,288",14.2,23.0,Polish (4.5%),04.5% Polish
96,Lytton Park,OCoT,['0139.00'],"6,494",1.28,5073,5.0,"127,356",15.1,12.9,Serbian (0.9%),00.9% Serbian
97,Malvern,S,"['0378.03, 0378.04, 0378.05, 0378.06, 0378.11, 0378.12, 0378.16, 0378.17']","44,324",8.86,5003,1.5,"25,677",13.6,8.2,Tamil (12.2%),12.2% Tamil
98,Maple Leaf,NY,"['0283.01, 0283.02, 0284.00, 285.00']","20,313",4.59,4425,1.4,"27,611",11.8,18.8,Italian (13.0%),13.0% Italian
99,Markland Wood,E,"['0220.00, 0221.01']","10,240",2.92,3507,1.0,"51,695",9.2,9.7,Polish (3.4%),03.4% Polish
100,Maryvale,S,"['0372.00, 0373.00']","8,800",2.28,3860,-3.2,"30,944",12.3,11.4,Filipino (4.1%),04.1% Filipino
101,Milliken,S,"['0377.06, 0377.07, 0378.18, 0378.19, 0378.20, 0378.21, 0378.22']","26,272",7.19,3654,-2.0,"25,243",12.3,3.9,Cantonese (26.6%),26.6% Cantonese
102,Mimico,E,"['0202.00, 0203.00, 0209.00, 0210.00']","14,198",5.4,2629,15.4,"47,011",11.6,15.5,Polish (3.6%),03.6% Polish
103,Moore Park,OCoT,['0125.00'],"4,474",1.13,3959,-2.0,"154,825",11.0,7.5,French (1.1%),01.1% French
104,Morningside,S,"['0363.02, 0363.04, 0363.05']","11,472",2.79,4112,0.3,"27,139",14.9,13.2,Tamil (10.8%),10.8% Tamil
105,Mount Dennis,Y,"['0156.01, 0156.02, 0157.00, 0173.00, 0174.00']","21,284",3.29,6469,-3.1,"23,910",18.2,19.9,Spanish (7.3%),07.3% Spanish
106,New Toronto,E,"['0204.00, 0207.00, 0208.00']","10,455",2.71,3858,-5.8,"33,415",13.0,25.6,Polish (4.6%),04.6% Polish
107,Newtonbrook,NY,"['0318.00, 0319.00, 0320.01, 0320.02, 0321.01, 0321.02, 0322.00']","36,046",8.77,4110,0.3,"33,428",16.6,14.3,Russian (8.8%),08.8% Russian
108,Niagara,OCoT,['0010.02'],"6,524",0.55,"11,862",-4.0,"44,611",21.2,21.4,Portuguese (4.0%),04.0% Portuguese
109,North York City Centre,NY,['0307.01'],"10,427",0.28,"37,239",33.0,"34,330",19.0,19.5,Unspecified Chinese (10.1%),10.1% Unspecified Chinese
110,Oakridge,S,"['0341.02, 0341.03, 0341.04']","13,368",1.86,7187,-2.3,"21,155",20.8,27.1,Bengali (12.6%),12.6% Bengali
111,O'Connor–Parkview,EY,"['0189.00, 0190.02, 0191.00, 0192.00, 0193.00']","17,740",4.94,3591,-6.1,"33,517",15.8,19.4,Urdu (3.2%),03.2% Urdu
112,Old East York,EY,"['0180.00, 0181.01, 0181.02, 0182.00, 0183.00, 0184.01, 0184.02, 0185.01, 0185.02, 0187.00, 0188.00']","52,220",7.94,6577,-4.6,"33,172",22.0,19.1,Greek (4.3%),04.3% Greek
113,Old Mill,Y,['0150.00'],"4,010",1.07,3748,1.0,"110,372",16.1,10.7,Ukrainian (4.1%),04.1% Ukrainian
114,Parkdale,OCoT,"['0004.00, 0005.00, 0007.01, 0007.02, 0047.01, 0047.02']","28,367",2.03,"13,974",-8.0,"26,314",22.2,39.0,Polish (2.9%),02.9% Polish
115,Parkway Forest,NY,"['0301.03, 0301.04']","8,498",1.71,4970,-2.8,"24,333",21.7,24.2,Unspecified Chinese (8.5%),08.5% Unspecified Chinese
